leg_x,leg_y,correlation,pair_bucket,corr_threshold_used,sector_x,sector_y
VGK,EWI,0.9155780263170187,Same Sector,0.7,International,International
VB,VTV,0.915568568047275,Cross Sector,0.7,Broad Market,Factor
DIA,IVW,0.9155015665338887,Cross Sector,0.7,Broad Market,Factor
VTI,VGT,0.9154741103843497,Cross Sector,0.7,Broad Market,Technology
IJH,SPYV,0.9153710018655228,Cross Sector,0.7,Broad Market,Factor
IVV,VGT,0.914687027954251,Cross Sector,0.7,Broad Market,Technology
VTI,XLI,0.9146311832045215,Cross Sector,0.7,Broad Market,Industrials
VOO,VB,0.914630765686374,Same Sector,0.7,Broad Market,Broad Market
IWB,XLK,0.9145206047404866,Cross Sector,0.7,Broad Market,Technology
VV,XLK,0.9141410364420152,Cross Sector,0.7,Broad Market,Technology
SPYV,VBR,0.9140786269060975,Same Sector,0.7,Factor,Factor
SPY,XLK,0.9137487869278915,Cross Sector,0.7,Broad Market,Technology
VBK,VUG,0.9127293346022218,Same Sector,0.7,Factor,Factor
IJH,VYM,0.9123773362705901,Cross Sector,0.7,Broad Market,Factor
IEF,TLT,0.9123395290771733,Same Sector,0.7,Fixed Income,Fixed Income
EWI,EWP,0.9122639428536378,Same Sector,0.7,International,International
IWB,VBR,0.9121026803868163,Cross Sector,0.7,Broad Market,Factor
IVV,VBK,0.9120739570699581,Cross Sector,0.7,Broad Market,Factor
MDY,SPYV,0.9120590436501527,Cross Sector,0.7,Broad Market,Factor
IJH,XLI,0.9117279648904386,Cross Sector,0.7,Broad Market,Industrials
IWB,XLI,0.911446483866303,Cross Sector,0.7,Broad Market,Industrials
MDY,VYM,0.9113389827034488,Cross Sector,0.7,Broad Market,Factor
VTI,XLK,0.9107992065515287,Cross Sector,0.7,Broad Market,Technology
SPY,VGT,0.9107304601505406,Cross Sector,0.7,Broad Market,Technology
VYM,VFH,0.9105076924938759,Cross Sector,0.7,Factor,Financials
EWN,EWG,0.9100243118022482,Same Sector,0.7,International,International
SPY,VBK,0.9096565299808208,Cross Sector,0.7,Broad Market,Factor
IVV,XLI,0.9095597997035613,Cross Sector,0.7,Broad Market,Industrials
VTV,XLF,0.9093583536018083,Cross Sector,0.7,Factor,Financials
VBK,IWF,0.9092980911998338,Same Sector,0.7,Factor,Factor
IWB,XLY,0.909280228092493,Cross Sector,0.7,Broad Market,Consumer Discretionary
OEF,IYW,0.9090493040243603,Cross Sector,0.7,Broad Market,Technology
VTI,XLY,0.9087220344806946,Cross Sector,0.7,Broad Market,Consumer Discretionary
IWB,IWM,0.9085303890779991,Same Sector,0.7,Broad Market,Broad Market
RSP,IVW,0.9081038441750734,Cross Sector,0.7,Broad Market,Factor
EWQ,EWP,0.9078159582470807,Same Sector,0.7,International,International
VGK,EWP,0.9077709535042167,Same Sector,0.7,International,International
IJH,DIA,0.9076050622764215,Same Sector,0.7,Broad Market,Broad Market
MDY,DIA,0.9073098535405156,Same Sector,0.7,Broad Market,Broad Market
VOO,IYW,0.9072057171386595,Cross Sector,0.7,Broad Market,Technology
SPY,XLI,0.9066345736044384,Cross Sector,0.7,Broad Market,Industrials
VOO,XLY,0.9065411920118828,Cross Sector,0.7,Broad Market,Consumer Discretionary
MDY,XLI,0.9062321177051699,Cross Sector,0.7,Broad Market,Industrials
