direction,entry_date,exit_date,entry_z,exit_z,entry_spread,exit_spread,hedge_ratio,pnl,exit_reason,trading_year,leg_x,leg_y
SHORT,2018-09-07,2018-09-19,2.0460917937132477,0.30032665054434093,0.5875176011144543,0.547879039316614,1.0947724104746142,173.98173804166356,convergence,2018,IWF,VPL
SHORT,2018-09-04,2018-09-19,2.1632464723477507,0.2946901092669808,-0.34167432432963185,-0.3893066471468769,1.3869748206428194,180.27334595129702,convergence,2018,VGT,VPL
SHORT,2018-09-11,2018-10-09,2.537439528232646,0.2622404286468046,-1.4008733289047184,-1.4053449433351863,1.0486979830096965,1.2743009757849713,convergence,2018,IJH,IWN
LONG,2018-10-09,2018-10-23,-2.330377552483055,-0.4006842831456214,-0.348859559720327,-0.30971579988857734,1.1494637298222399,152.18887161361178,convergence,2018,IWO,VIS
LONG,2018-09-19,2018-10-29,-2.068366377396406,-0.3551791288081899,0.8159715538741521,0.8149501749004999,1.059714186428723,-19.390405086507503,convergence,2018,IWO,XLI
LONG,2018-09-17,2018-10-30,-2.0033484000012765,-0.43021920455602464,0.8397307327885866,0.83182824704667,0.8578019856826373,-61.946555310819576,convergence,2018,IWM,VIS
LONG,2018-09-17,2018-10-30,-2.1994129811779386,-0.33057360911959754,0.31978567139582115,0.3080996746051454,0.8267620993422482,-82.17180279788016,convergence,2018,IJR,VIS
LONG,2018-08-28,2018-11-07,-2.0495933595471594,-0.4732413878153212,0.8019775760008141,0.784478652091126,0.8186758852376238,-110.96821360531567,convergence,2018,IWM,VBK
SHORT,2018-09-18,2018-11-12,2.014931866445738,0.06923991465775943,-1.8120639776457081,-1.812709208982716,1.2438889409745175,-17.307628645961003,convergence,2018,IGOV,TLT
SHORT,2018-09-13,2018-11-21,2.064372753268346,0.42341695477256397,-0.42880574436722796,-0.39968820775218017,1.1356275533811488,-145.40874406884905,convergence,2018,IWB,IWN
SHORT,2018-09-24,2018-11-21,2.034586556853953,0.44634165872866055,0.12007190922467892,0.1464038827161387,1.1434896557263186,-133.36203097906986,convergence,2018,IVV,IWN
SHORT,2018-07-25,2018-11-21,4.14867355381346,0.3708137728950751,1.9577879868109362,2.0324614457371943,0.7135153701635273,-424.4074895074447,convergence,2018,VIG,XHB
